,Nom,Note,Rang,Communauté
0,Cowboy Bebop,8.78,28.0,2
1,Cowboy Bebop,8.78,28.0,3
2,Cowboy Bebop: Tengoku no Tobira,8.39,159.0,3
3,Trigun,8.24,266.0,2
4,Witch Hunter Robin,7.27,2481.0,1
5,Bouken Ou Beet,6.98,3710.0,4
6,Eyeshield 21,7.95,604.0,6
7,Hachimitsu to Clover,8.06,468.0,5
8,Naruto,7.91,660.0,2
9,One Piece,8.52,95.0,2
10,Tennis no Ouji-sama,7.9,675.0,6
11,School Rumble,7.94,625.0,1
12,Sunabouzu,7.42,1844.0,2
13,Texhnolyze,7.76,896.0,3
14,Zipang,7.51,1565.0,3
15,Neon Genesis Evangelion,8.32,208.0,3
16,Neon Genesis Evangelion: The End of Evangelion,8.51,102.0,3
17,Kenpuu Denki Berserk,8.49,108.0,1
18,Koukaku Kidoutai,8.29,236.0,3
19,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,37.0,2
20,Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,220.0,2
21,Akira,8.17,333.0,1
22,.hack//Sign,6.98,3687.0,2
23,Aa! Megami-sama!,7.32,2226.0,1
24,Aa! Megami-sama! (TV),7.35,2116.0,1
25,Tenshi Kinryouku,6.31,6823.0,1
26,Kidou Tenshi Angelic Layer,7.26,2529.0,2
27,Ai Yori Aoshi,7.14,3012.0,1
28,Appleseed (Movie),7.1,3206.0,3
29,Arc the Lad,6.53,5738.0,1
30,Avenger,5.91,8501.0,4
31,Blue Gender,7.05,3455.0,3
32,Chobits,7.43,1804.0,1
33,Chrno Crusade,7.66,1120.0,2
34,D.N.Angel,7.2,2761.0,1
35,D.C.: Da Capo,6.77,4589.0,1
36,DearS,6.62,5274.0,1
37,Rozen Maiden,7.44,1782.0,2
38,Rozen Maiden: Träumend,7.65,1146.0,2
39,Basilisk: Kouga Ninpou Chou,7.58,1325.0,2
40,Black Cat (TV),7.38,1965.0,2
41,Full Metal Panic!,7.65,1146.0,3
42,Soukyuu no Fafner: Dead Aggressor,7.3,2348.0,3
43,Mahou Shoujo Lyrical Nanoha,7.42,1828.0,2
44,Mahou Shoujo Lyrical Nanoha A's,7.99,551.0,2
45,Shuffle!,7.09,3231.0,1
46,Mobile Suit Gundam,7.78,867.0,3
47,Mobile Suit Gundam: The 08th MS Team,8.03,511.0,3
48,Mobile Suit Gundam 0080: War in the Pocket,7.9,677.0,3
49,Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,4498.0,3
50,Mobile Suit Gundam 0083: Stardust Memory,7.3,2361.0,3
51,Mobile Suit Zeta Gundam,7.92,655.0,3
52,Mobile Suit Gundam ZZ,6.66,5111.0,3
53,Mobile Suit Gundam: Char's Counterattack,7.68,1084.0,3
54,Mobile Suit Gundam F91,6.67,5049.0,3
55,Mobile Suit Victory Gundam,6.76,4632.0,3
56,Mobile Suit Gundam Wing,7.72,984.0,3
57,Mobile Suit Gundam Wing: Endless Waltz,7.76,897.0,3
58,After War Gundam X,7.32,2228.0,3
59,Mobile Suit Gundam SEED,7.79,850.0,3
60,Mobile Suit Gundam SEED Destiny,7.22,2687.0,3
61,Turn A Gundam,7.7,1018.0,3
62,Mobile Fighter G Gundam,7.56,1396.0,3
63,Mai-HiME,7.46,1698.0,1
64,Mai-Otome,7.31,2308.0,1
65,Shin Shirayuki-hime Densetsu Prétear,7.2,2785.0,1
66,Air,7.32,2230.0,1
67,Aishiteruze Baby★★,7.48,1634.0,5
68,Akazukin Chacha,7.39,1941.0,1
69,Ayashi no Ceres,7.23,2641.0,1
70,Ou Dorobou Jing,7.23,2625.0,4
71,Ou Dorobou Jing in Seventh Heaven,7.29,2367.0,4
72,Bakuretsu Tenshi,6.81,4381.0,3
73,Chuuka Ichiban!,7.63,1195.0,2
74,Chou Henshin Cosprayers,4.95,10648.0,2
75,Uchuu no Stellvia,7.38,1980.0,3
76,El Hazard: The Wanderers,6.97,3735.0,1
77,El Hazard: The Magnificent World,7.32,2240.0,1
78,Final Approach,6.56,5567.0,5
79,Fruits Basket,7.69,1058.0,1
80,Fullmetal Alchemist,8.17,337.0,2
81,Full Moon wo Sagashite,7.96,585.0,1
82,Fushigi Yuugi,7.64,1172.0,1
83,Fushigi Yuugi: Eikouden,6.86,4189.0,1
84,Gate Keepers,6.96,3767.0,3
85,Gate Keepers,6.96,3767.0,4
86,Gate Keepers 21,6.79,4489.0,3
87,Gensoumaden Saiyuuki,7.59,1315.0,2
88,Saiyuuki Reload,7.41,1858.0,2
89,Saiyuuki Reload Gunlock,7.42,1840.0,2
90,GetBackers,7.61,1249.0,2
91,Green Green,6.21,7303.0,5
92,Gunslinger Girl,7.42,1821.0,3
93,Hunter x Hunter,8.42,143.0,2
94,Hunter x Hunter: Original Video Animation,8.33,205.0,2
95,Hunter x Hunter: Greed Island,8.21,299.0,2
96,Hunter x Hunter: Greed Island Final,8.29,230.0,2
97,Kamikaze Kaitou Jeanne,7.45,1746.0,1
98,Kannazuki no Miko,6.87,4169.0,1
99,Kareshi Kanojo no Jijou,7.61,1254.0,5
100,Kono Minikuku mo Utsukushii Sekai,6.76,4625.0,1
101,Loveless,6.86,4203.0,1
102,Blood+,7.66,1116.0,1
103,Re: Cutey Honey,7.12,3130.0,2
104,Juuni Kokuki,8.06,464.0,2
105,Shaman King,7.78,853.0,2
106,X/1999,6.59,5420.0,1
107,X,7.43,1804.0,1
108,X,7.43,1804.0,3
109,Mahou Sensei Negima!,6.98,3708.0,1
110,Maria-sama ga Miteru,7.34,2178.0,1
111,Boukyaku no Senritsu,6.34,6657.0,4
112,"Ima, Soko ni Iru Boku",7.66,1140.0,3
113,Peace Maker Kurogane,7.33,2186.0,2
114,Pita Ten,6.94,3863.0,1
115,Power Stone,6.48,6015.0,4
116,RahXephon,7.42,1820.0,3
117,Scrapped Princess,7.41,1861.0,2
118,s.CRY.ed,7.38,1969.0,2
119,Shingetsutan Tsukihime,6.91,3970.0,1
120,Strange Dawn,6.35,6634.0,2
