,Nompremier,Nomdeux,Score,Genre
155,['Soukyuu no Fafner: Dead Aggressor'],['Mobile Suit Gundam: The 08th MS Team'],4,"[' Sci-Fi', ' Military', ' Mecha', ' Drama']"
156,['Soukyuu no Fafner: Dead Aggressor'],['Mobile Suit Gundam'],4,"[' Sci-Fi', ' Military', ' Mecha', 'Action']"
157,['Mahou Shoujo Lyrical Nanoha'],['Chou Henshin Cosprayers'],4,"[' Super Power', 'Action', ' Magic', ' Comedy']"
158,['Mahou Shoujo Lyrical Nanoha'],['Mai-HiME'],4,"['Action', ' Drama', ' Magic', ' Comedy']"
159,['Mahou Shoujo Lyrical Nanoha'],"[""Mahou Shoujo Lyrical Nanoha A's""]",5,"[' Super Power', ' Comedy', ' Magic', ' Drama', 'Action']"
160,"[""Mahou Shoujo Lyrical Nanoha A's""]",['Chou Henshin Cosprayers'],4,"[' Super Power', 'Action', ' Magic', ' Comedy']"
161,"[""Mahou Shoujo Lyrical Nanoha A's""]",['Mai-HiME'],4,"['Action', ' Drama', ' Magic', ' Comedy']"
162,['Shuffle!'],['Chou Henshin Cosprayers'],4,"[' Magic', ' Ecchi', ' Fantasy', ' Comedy']"
163,['Shuffle!'],['Akazukin Chacha'],4,"[' Magic', ' Romance', ' Fantasy', ' Comedy']"
164,['Shuffle!'],['Shin Shirayuki-hime Densetsu Prétear'],4,"[' Magic', ' Drama', ' Romance', ' Fantasy']"
165,['Shuffle!'],['Mai-HiME'],6,"[' Romance', ' Fantasy', ' Comedy', ' Magic', ' Drama', ' School']"
166,['Mobile Suit Gundam'],['Uchuu no Stellvia'],4,"[' Space', ' Mecha', 'Action', ' Sci-Fi']"
167,['Mobile Suit Gundam'],['Turn A Gundam'],5,"[' Space', ' Military', ' Mecha', ' Sci-Fi', 'Action']"
168,['Mobile Suit Gundam'],['Mobile Suit Gundam SEED Destiny'],5,"[' Space', ' Military', ' Mecha', ' Sci-Fi', 'Action']"
169,['Mobile Suit Gundam'],['Mobile Suit Gundam SEED'],5,"[' Space', ' Military', ' Mecha', ' Sci-Fi', 'Action']"
170,['Mobile Suit Gundam'],['Mobile Suit Gundam Wing: Endless Waltz'],5,"[' Space', ' Military', ' Mecha', ' Sci-Fi', 'Action']"
171,['Mobile Suit Gundam'],['Mobile Suit Gundam Wing'],5,"[' Space', ' Military', ' Mecha', ' Sci-Fi', 'Action']"
172,['Mobile Suit Gundam'],['Mobile Suit Victory Gundam'],4,"[' Space', ' Military', ' Mecha', ' Sci-Fi']"
173,['Mobile Suit Gundam'],['Mobile Suit Gundam F91'],4,"[' Space', ' Military', ' Mecha', ' Sci-Fi']"
174,['Mobile Suit Gundam: The 08th MS Team'],['Mobile Fighter G Gundam'],5,"[' Romance', 'Adventure', ' Mecha', ' Sci-Fi', ' Drama']"
175,['Mobile Suit Gundam: The 08th MS Team'],['Turn A Gundam'],5,"[' Romance', ' Military', ' Mecha', ' Sci-Fi', ' Drama']"
176,['Mobile Suit Gundam: The 08th MS Team'],['Mobile Suit Gundam SEED Destiny'],5,"[' Romance', ' Military', ' Mecha', ' Sci-Fi', ' Drama']"
177,['Mobile Suit Gundam: The 08th MS Team'],['Mobile Suit Gundam SEED'],5,"[' Romance', ' Military', ' Mecha', ' Sci-Fi', ' Drama']"
178,['Mobile Suit Gundam: The 08th MS Team'],['Mobile Suit Gundam Wing: Endless Waltz'],4,"[' Sci-Fi', ' Military', ' Mecha', ' Drama']"
179,['Mobile Suit Gundam: The 08th MS Team'],['Mobile Suit Gundam Wing'],4,"[' Sci-Fi', ' Military', ' Mecha', ' Drama']"
180,['Mobile Suit Gundam: The 08th MS Team'],['Mobile Suit Gundam ZZ'],4,"[' Sci-Fi', ' Military', ' Mecha', ' Drama']"
181,['Mobile Suit Gundam: The 08th MS Team'],['Mobile Suit Zeta Gundam'],4,"[' Sci-Fi', ' Mecha', ' Romance', ' Drama']"
182,['Mobile Suit Gundam: The 08th MS Team'],['Mobile Suit Gundam 0083: Stardust Memory'],4,"[' Sci-Fi', ' Mecha', ' Romance', ' Drama']"
183,['Mobile Suit Gundam: The 08th MS Team'],"[""Mobile Suit Gundam: The 08th MS Team - Miller's Report""]",4,"[' Sci-Fi', ' Mecha', ' Romance', ' Drama']"
184,['Mobile Suit Gundam 0080: War in the Pocket'],['Mobile Fighter G Gundam'],4,"[' Space', ' Mecha', ' Drama', ' Sci-Fi']"
185,['Mobile Suit Gundam 0080: War in the Pocket'],['Turn A Gundam'],4,"[' Space', ' Mecha', ' Drama', ' Sci-Fi']"
186,['Mobile Suit Gundam 0080: War in the Pocket'],['Mobile Suit Gundam SEED Destiny'],4,"[' Space', ' Mecha', ' Drama', ' Sci-Fi']"
187,['Mobile Suit Gundam 0080: War in the Pocket'],['Mobile Suit Gundam SEED'],4,"[' Space', ' Mecha', ' Drama', ' Sci-Fi']"
188,['Mobile Suit Gundam 0080: War in the Pocket'],['Mobile Suit Gundam Wing: Endless Waltz'],4,"[' Space', ' Mecha', ' Drama', ' Sci-Fi']"
189,['Mobile Suit Gundam 0080: War in the Pocket'],['Mobile Suit Gundam Wing'],4,"[' Space', ' Mecha', ' Drama', ' Sci-Fi']"
190,['Mobile Suit Gundam 0080: War in the Pocket'],"[""Mobile Suit Gundam: Char's Counterattack""]",5,"['Military', ' Space', ' Mecha', ' Sci-Fi', ' Drama']"
191,['Mobile Suit Gundam 0080: War in the Pocket'],['Mobile Suit Zeta Gundam'],5,"['Military', ' Space', ' Mecha', ' Sci-Fi', ' Drama']"
192,['Mobile Suit Gundam 0080: War in the Pocket'],['Mobile Suit Gundam 0083: Stardust Memory'],5,"['Military', ' Space', ' Mecha', ' Sci-Fi', ' Drama']"
193,['Mobile Suit Gundam 0080: War in the Pocket'],"[""Mobile Suit Gundam: The 08th MS Team - Miller's Report""]",4,"['Military', ' Mecha', ' Drama', ' Sci-Fi']"
194,"[""Mobile Suit Gundam: The 08th MS Team - Miller's Report""]",['Mobile Fighter G Gundam'],4,"[' Sci-Fi', ' Mecha', ' Romance', ' Drama']"
195,"[""Mobile Suit Gundam: The 08th MS Team - Miller's Report""]",['Turn A Gundam'],4,"[' Sci-Fi', ' Mecha', ' Romance', ' Drama']"
196,"[""Mobile Suit Gundam: The 08th MS Team - Miller's Report""]",['Mobile Suit Gundam SEED Destiny'],4,"[' Sci-Fi', ' Mecha', ' Romance', ' Drama']"
197,"[""Mobile Suit Gundam: The 08th MS Team - Miller's Report""]",['Mobile Suit Gundam SEED'],4,"[' Sci-Fi', ' Mecha', ' Romance', ' Drama']"
198,"[""Mobile Suit Gundam: The 08th MS Team - Miller's Report""]","[""Mobile Suit Gundam: Char's Counterattack""]",4,"['Military', ' Mecha', ' Drama', ' Sci-Fi']"
199,"[""Mobile Suit Gundam: The 08th MS Team - Miller's Report""]",['Mobile Suit Zeta Gundam'],5,"[' Romance', 'Military', ' Mecha', ' Sci-Fi', ' Drama']"
200,"[""Mobile Suit Gundam: The 08th MS Team - Miller's Report""]",['Mobile Suit Gundam 0083: Stardust Memory'],5,"[' Romance', 'Military', ' Mecha', ' Sci-Fi', ' Drama']"
201,['Mobile Suit Gundam 0083: Stardust Memory'],['Fruits Basket'],4,"[' Space', ' Drama', ' Adventure', ' Sci-Fi']"
202,['Mobile Suit Gundam 0083: Stardust Memory'],['Uchuu no Stellvia'],4,"[' Space', ' Mecha', ' Romance', ' Sci-Fi']"
203,['Mobile Suit Gundam 0083: Stardust Memory'],['Mobile Fighter G Gundam'],5,"[' Romance', ' Space', ' Mecha', ' Sci-Fi', ' Drama']"
204,['Mobile Suit Gundam 0083: Stardust Memory'],['Turn A Gundam'],6,"[' Romance', ' Adventure', ' Space', ' Mecha', ' Sci-Fi', ' Drama']"
205,['Mobile Suit Gundam 0083: Stardust Memory'],['Mobile Suit Gundam SEED Destiny'],5,"[' Romance', ' Space', ' Mecha', ' Sci-Fi', ' Drama']"
206,['Mobile Suit Gundam 0083: Stardust Memory'],['Mobile Suit Gundam SEED'],5,"[' Romance', ' Space', ' Mecha', ' Sci-Fi', ' Drama']"
207,['Mobile Suit Gundam 0083: Stardust Memory'],['After War Gundam X'],4,"[' Space', ' Mecha', ' Drama', ' Adventure']"
208,['Mobile Suit Gundam 0083: Stardust Memory'],['Mobile Suit Gundam Wing: Endless Waltz'],4,"[' Space', ' Mecha', ' Drama', ' Sci-Fi']"
209,['Mobile Suit Gundam 0083: Stardust Memory'],['Mobile Suit Gundam Wing'],4,"[' Space', ' Mecha', ' Drama', ' Sci-Fi']"
210,['Mobile Suit Gundam 0083: Stardust Memory'],"[""Mobile Suit Gundam: Char's Counterattack""]",5,"['Military', ' Space', ' Mecha', ' Sci-Fi', ' Drama']"
211,['Mobile Suit Gundam 0083: Stardust Memory'],['Mobile Suit Zeta Gundam'],6,"[' Romance', 'Military', ' Space', ' Mecha', ' Sci-Fi', ' Drama']"
212,['Mobile Suit Zeta Gundam'],['Uchuu no Stellvia'],4,"[' Space', ' Mecha', ' Romance', ' Sci-Fi']"
213,['Mobile Suit Zeta Gundam'],['Mobile Fighter G Gundam'],5,"[' Romance', ' Space', ' Mecha', ' Sci-Fi', ' Drama']"
214,['Mobile Suit Zeta Gundam'],['Turn A Gundam'],5,"[' Romance', ' Space', ' Mecha', ' Sci-Fi', ' Drama']"
215,['Mobile Suit Zeta Gundam'],['Mobile Suit Gundam SEED Destiny'],5,"[' Romance', ' Space', ' Mecha', ' Sci-Fi', ' Drama']"
216,['Mobile Suit Zeta Gundam'],['Mobile Suit Gundam SEED'],5,"[' Romance', ' Space', ' Mecha', ' Sci-Fi', ' Drama']"
217,['Mobile Suit Zeta Gundam'],['Mobile Suit Gundam Wing: Endless Waltz'],4,"[' Space', ' Mecha', ' Drama', ' Sci-Fi']"
218,['Mobile Suit Zeta Gundam'],['Mobile Suit Gundam Wing'],4,"[' Space', ' Mecha', ' Drama', ' Sci-Fi']"
219,['Mobile Suit Zeta Gundam'],"[""Mobile Suit Gundam: Char's Counterattack""]",5,"['Military', ' Space', ' Mecha', ' Sci-Fi', ' Drama']"
220,['Mobile Suit Gundam ZZ'],['Mobile Fighter G Gundam'],4,"[' Sci-Fi', ' Mecha', ' Drama', ' Comedy']"
221,['Mobile Suit Gundam ZZ'],['Turn A Gundam'],4,"[' Sci-Fi', ' Military', ' Mecha', ' Drama']"
222,['Mobile Suit Gundam ZZ'],['Mobile Suit Gundam SEED Destiny'],4,"[' Sci-Fi', ' Military', ' Mecha', ' Drama']"
223,['Mobile Suit Gundam ZZ'],['Mobile Suit Gundam SEED'],4,"[' Sci-Fi', ' Military', ' Mecha', ' Drama']"
224,['Mobile Suit Gundam ZZ'],['Mobile Suit Gundam Wing: Endless Waltz'],4,"[' Sci-Fi', ' Military', ' Mecha', ' Drama']"
225,['Mobile Suit Gundam ZZ'],['Mobile Suit Gundam Wing'],4,"[' Sci-Fi', ' Military', ' Mecha', ' Drama']"
226,"[""Mobile Suit Gundam: Char's Counterattack""]",['Mobile Fighter G Gundam'],4,"[' Space', ' Mecha', ' Drama', ' Sci-Fi']"
227,"[""Mobile Suit Gundam: Char's Counterattack""]",['Turn A Gundam'],4,"[' Space', ' Mecha', ' Drama', ' Sci-Fi']"
228,"[""Mobile Suit Gundam: Char's Counterattack""]",['Mobile Suit Gundam SEED Destiny'],4,"[' Space', ' Mecha', ' Drama', ' Sci-Fi']"
229,"[""Mobile Suit Gundam: Char's Counterattack""]",['Mobile Suit Gundam SEED'],4,"[' Space', ' Mecha', ' Drama', ' Sci-Fi']"
230,"[""Mobile Suit Gundam: Char's Counterattack""]",['Mobile Suit Gundam Wing: Endless Waltz'],4,"[' Space', ' Mecha', ' Drama', ' Sci-Fi']"
231,"[""Mobile Suit Gundam: Char's Counterattack""]",['Mobile Suit Gundam Wing'],4,"[' Space', ' Mecha', ' Drama', ' Sci-Fi']"
232,['Mobile Suit Gundam F91'],['Turn A Gundam'],4,"[' Space', ' Military', ' Mecha', ' Sci-Fi']"
233,['Mobile Suit Gundam F91'],['Mobile Suit Gundam SEED Destiny'],4,"[' Space', ' Military', ' Mecha', ' Sci-Fi']"
234,['Mobile Suit Gundam F91'],['Mobile Suit Gundam SEED'],4,"[' Space', ' Military', ' Mecha', ' Sci-Fi']"
235,['Mobile Suit Gundam F91'],['Mobile Suit Gundam Wing: Endless Waltz'],4,"[' Space', ' Military', ' Mecha', ' Sci-Fi']"
236,['Mobile Suit Gundam F91'],['Mobile Suit Gundam Wing'],4,"[' Space', ' Military', ' Mecha', ' Sci-Fi']"
237,['Mobile Suit Gundam F91'],['Mobile Suit Victory Gundam'],5,"['Drama', ' Space', ' Military', ' Mecha', ' Sci-Fi']"
238,['Mobile Suit Victory Gundam'],['Turn A Gundam'],4,"[' Space', ' Military', ' Mecha', ' Sci-Fi']"
239,['Mobile Suit Victory Gundam'],['Mobile Suit Gundam SEED Destiny'],4,"[' Space', ' Military', ' Mecha', ' Sci-Fi']"
240,['Mobile Suit Victory Gundam'],['Mobile Suit Gundam SEED'],4,"[' Space', ' Military', ' Mecha', ' Sci-Fi']"
241,['Mobile Suit Victory Gundam'],['Mobile Suit Gundam Wing: Endless Waltz'],4,"[' Space', ' Military', ' Mecha', ' Sci-Fi']"
242,['Mobile Suit Victory Gundam'],['Mobile Suit Gundam Wing'],4,"[' Space', ' Military', ' Mecha', ' Sci-Fi']"
243,['Mobile Suit Gundam Wing'],['Fruits Basket'],4,"[' Space', 'Action', ' Drama', ' Sci-Fi']"
244,['Mobile Suit Gundam Wing'],['Uchuu no Stellvia'],4,"[' Space', ' Mecha', 'Action', ' Sci-Fi']"
245,['Mobile Suit Gundam Wing'],['Mobile Fighter G Gundam'],4,"[' Space', ' Mecha', ' Drama', ' Sci-Fi']"
246,['Mobile Suit Gundam Wing'],['Turn A Gundam'],6,"[' Space', ' Military', ' Mecha', ' Sci-Fi', ' Drama', 'Action']"
247,['Mobile Suit Gundam Wing'],['Mobile Suit Gundam SEED Destiny'],6,"[' Space', ' Military', ' Mecha', ' Sci-Fi', ' Drama', 'Action']"
248,['Mobile Suit Gundam Wing'],['Mobile Suit Gundam SEED'],6,"[' Space', ' Military', ' Mecha', ' Sci-Fi', ' Drama', 'Action']"
249,['Mobile Suit Gundam Wing'],['Mobile Suit Gundam Wing: Endless Waltz'],6,"[' Space', ' Military', ' Mecha', ' Sci-Fi', ' Drama', 'Action']"
250,['Mobile Suit Gundam Wing: Endless Waltz'],['Fruits Basket'],4,"[' Space', 'Action', ' Drama', ' Sci-Fi']"
251,['Mobile Suit Gundam Wing: Endless Waltz'],['Uchuu no Stellvia'],4,"[' Space', ' Mecha', 'Action', ' Sci-Fi']"
252,['Mobile Suit Gundam Wing: Endless Waltz'],['Mobile Fighter G Gundam'],4,"[' Space', ' Mecha', ' Drama', ' Sci-Fi']"
253,['Mobile Suit Gundam Wing: Endless Waltz'],['Turn A Gundam'],6,"[' Space', ' Military', ' Mecha', ' Sci-Fi', ' Drama', 'Action']"
254,['Mobile Suit Gundam Wing: Endless Waltz'],['Mobile Suit Gundam SEED Destiny'],6,"[' Space', ' Military', ' Mecha', ' Sci-Fi', ' Drama', 'Action']"
255,['Mobile Suit Gundam Wing: Endless Waltz'],['Mobile Suit Gundam SEED'],6,"[' Space', ' Military', ' Mecha', ' Sci-Fi', ' Drama', 'Action']"
256,['After War Gundam X'],['Turn A Gundam'],4,"[' Space', ' Mecha', ' Drama', ' Adventure']"
257,['Mobile Suit Gundam SEED'],['Fruits Basket'],4,"[' Space', 'Action', ' Drama', ' Sci-Fi']"
258,['Mobile Suit Gundam SEED'],['Uchuu no Stellvia'],5,"[' Romance', ' Space', ' Mecha', ' Sci-Fi', 'Action']"
259,['Mobile Suit Gundam SEED'],['Mai-HiME'],4,"[' Mecha', ' Romance', ' Drama', 'Action']"
260,['Mobile Suit Gundam SEED'],['Mobile Fighter G Gundam'],5,"[' Romance', ' Space', ' Mecha', ' Sci-Fi', ' Drama']"
261,['Mobile Suit Gundam SEED'],['Turn A Gundam'],7,"[' Romance', ' Space', ' Military', ' Mecha', ' Sci-Fi', ' Drama', 'Action']"
262,['Mobile Suit Gundam SEED'],['Mobile Suit Gundam SEED Destiny'],7,"[' Romance', ' Space', ' Military', ' Mecha', ' Sci-Fi', ' Drama', 'Action']"
263,['Mobile Suit Gundam SEED Destiny'],['Fruits Basket'],4,"[' Space', 'Action', ' Drama', ' Sci-Fi']"
264,['Mobile Suit Gundam SEED Destiny'],['Uchuu no Stellvia'],5,"[' Romance', ' Space', ' Mecha', ' Sci-Fi', 'Action']"
265,['Mobile Suit Gundam SEED Destiny'],['Mai-HiME'],4,"[' Mecha', ' Romance', ' Drama', 'Action']"
266,['Mobile Suit Gundam SEED Destiny'],['Mobile Fighter G Gundam'],5,"[' Romance', ' Space', ' Mecha', ' Sci-Fi', ' Drama']"
267,['Mobile Suit Gundam SEED Destiny'],['Turn A Gundam'],7,"[' Romance', ' Space', ' Military', ' Mecha', ' Sci-Fi', ' Drama', 'Action']"
268,['Turn A Gundam'],['Fruits Basket'],5,"[' Adventure', ' Space', ' Sci-Fi', ' Drama', 'Action']"
269,['Turn A Gundam'],['Uchuu no Stellvia'],5,"[' Romance', ' Space', ' Mecha', ' Sci-Fi', 'Action']"
270,['Turn A Gundam'],['Mai-HiME'],4,"[' Mecha', ' Romance', ' Drama', 'Action']"
271,['Turn A Gundam'],['Mobile Fighter G Gundam'],5,"[' Romance', ' Space', ' Mecha', ' Sci-Fi', ' Drama']"
272,['Mobile Fighter G Gundam'],['Fruits Basket'],4,"[' Space', ' Drama', ' Sci-Fi', ' Comedy']"
273,['Mobile Fighter G Gundam'],['Uchuu no Stellvia'],4,"[' Space', ' Mecha', ' Romance', ' Sci-Fi']"
274,['Mobile Fighter G Gundam'],['Bakuretsu Tenshi'],4,"[' Sci-Fi', ' Mecha', 'Adventure', ' Comedy']"
275,['Mobile Fighter G Gundam'],['Ayashi no Ceres'],4,"[' Romance', 'Adventure', ' Drama', ' Comedy']"
276,['Mobile Fighter G Gundam'],['Mai-HiME'],4,"[' Mecha', ' Romance', ' Drama', ' Comedy']"
277,['Mai-HiME'],['Chou Henshin Cosprayers'],4,"[' Magic', 'Action', ' Fantasy', ' Comedy']"
278,['Mai-HiME'],['Akazukin Chacha'],4,"[' Magic', ' Romance', ' Fantasy', ' Comedy']"
279,['Mai-HiME'],['Shin Shirayuki-hime Densetsu Prétear'],4,"[' Magic', ' Drama', ' Romance', ' Fantasy']"
280,['Mai-Otome'],['Shin Shirayuki-hime Densetsu Prétear'],4,"[' Drama', 'Comedy', ' Magic', ' Fantasy']"
281,['Shin Shirayuki-hime Densetsu Prétear'],['Akazukin Chacha'],4,"[' Magic', ' Romance', ' Fantasy', ' Shoujo']"
282,['Shin Shirayuki-hime Densetsu Prétear'],['Aishiteruze Baby★★'],4,"[' Romance', ' Drama', ' Shoujo', 'Comedy']"
283,['Akazukin Chacha'],['El Hazard: The Magnificent World'],4,"[' Romance', ' Fantasy', 'Adventure', ' Comedy']"
284,['Akazukin Chacha'],['El Hazard: The Wanderers'],4,"[' Romance', ' Fantasy', 'Adventure', ' Comedy']"
285,['Akazukin Chacha'],['Ayashi no Ceres'],4,"[' Romance', ' Shoujo', 'Adventure', ' Comedy']"
286,['Ou Dorobou Jing'],['Ou Dorobou Jing in Seventh Heaven'],4,"[' Shounen', ' Fantasy', 'Adventure', ' Comedy']"
287,['Chou Henshin Cosprayers'],['Fruits Basket'],4,"[' Sci-Fi', 'Action', ' Adventure', ' Comedy']"
288,['El Hazard: The Wanderers'],['El Hazard: The Magnificent World'],4,"[' Romance', ' Fantasy', 'Adventure', ' Comedy']"
